dataset_name,random_state,cm_tr,cm_ts
vc2c,1688120438,[151  17  23  57],[39  3 10 10]
vc2c,1574939224,[148  20  20  60],[37  5  0 20]
vc2c,1772115024,[157  11  27  53],[37  5  4 16]
vc2c,223177552,[151  17  21  59],[36  6  2 18]
vc2c,823797517,[153  15  23  57],[39  3  4 16]
vc2c,63040297,[152  16  21  59],[37  5  4 16]
vc3c,1320910298,[ 39   8   1  18  57   5  15   4 101],[11  1  0  5 14  1  3  1 26]
vc2c,349113877,[156  12  30  50],[38  4  3 17]
vc2c,173714041,[155  13  26  54],[39  3  9 11]
vc2c,702861175,[153  15  23  57],[38  4  7 13]
vc2c,380269677,[156  12  31  49],[42  0 12  8]
vc2c,567860406,[154  14  27  53],[39  3  6 14]
vc2c,730575025,[148  20  21  59],[41  1  9 11]
vc2c,1675535513,[155  13  28  52],[40  2  7 13]
vc2c,495778187,[155  13  26  54],[37  5  5 15]
vc3c,377822342,[ 34  14   0  22  56   2   8   5 107],[12  0  0  4 15  1  3  1 26]
vc2c,1586326972,[153  15  26  54],[39  3  5 15]
vc2c,1250963153,[157  11  30  50],[38  4 10 10]
vc2c,292988335,[157  11  28  52],[41  1 10 10]
vc2c,1208057369,[153  15  24  56],[40  2  7 13]
vc2c,375682159,[156  12  21  59],[36  6  7 13]
vc2c,844867540,[158  10  26  54],[36  6  9 11]
vc3c,641931343,[ 41   6   1  19  55   6  12   7 101],[ 8  4  0  4 15  1  3  1 26]
vc2c,2015820521,[150  18  25  55],[42  0  4 16]
vc3c,133006160,[ 36  12   0  19  58   3   8   5 107],[ 8  4  0  8 12  0  4  0 26]
vc2c,1040585337,[154  14  26  54],[42  0  7 13]
vc2c,368961245,[155  13  25  55],[39  3 10 10]
vc2c,139017236,[151  17  18  62],[38  4  4 16]
vc2c,829986915,[152  16  20  60],[38  4  5 15]
vc2c,1980932681,[152  16  25  55],[40  2  5 15]
vc3c,1530937790,[ 36  12   0  15  63   2   7   5 108],[ 8  4  0  5 14  1  4  3 23]
vc2c,1056830043,[153  15  18  62],[33  9  5 15]
vc2c,399499449,[158  10  29  51],[36  6  7 13]
vc3c,1000819612,[ 38   9   1  19  54   7  11   5 104],[10  2  0  6 12  2  5  1 24]
vc2c,834749963,[156  12  26  54],[39  3  9 11]
vc2c,915280321,[155  13  24  56],[36  6  7 13]
vc2c,254628334,[155  13  31  49],[40  2  5 15]
vc2c,879897629,[154  14  26  54],[39  3  8 12]
vc3c,1374845114,[ 39   8   1  21  51   8  14   4 102],[11  1  0  6 13  1  3  1 26]
vc2c,2111180817,[153  15  19  61],[36  6  4 16]
vc3c,913970101,[ 42   5   1  24  50   6  14   5 101],[10  2  0  5 15  0  2  2 26]
vc2c,674751741,[156  12  25  55],[38  4 10 10]
vc3c,1688120438,[ 41   6   1  21  53   6  12   5 103],[10  1  1 10  9  1  3  0 27]
vc2c,919435187,[155  13  29  51],[40  2  6 14]
vc2c,390873262,[157  11  26  54],[39  3  9 11]
vc2c,614349878,[158  10  26  54],[41  1 10 10]
vc3c,2007166991,[ 41   6   1  20  53   7  15   4 101],[ 7  5  0  6 13  1  1  2 27]
vc2c,838666224,[156  12  25  55],[36  6  6 14]
vc3c,571639701,[ 40   7   1  22  51   7  14   4 102],[11  1  0  5 14  1  3  1 26]
vc2c,1372041979,[154  14  22  58],[35  7  8 12]
vc2c,1278535671,[157  11  27  53],[41  1 10 10]
vc2c,1565921456,[157  11  28  52],[38  4  6 14]
vc3c,1772115024,[ 39   8   1  20  54   6  14   4 102],[ 9  3  0  2 15  3  3  1 26]
vc2c,1687681813,[153  15  29  51],[42  0 10 10]
vc3c,1574939224,[ 37  10   1  21  54   5  11   5 104],[12  0  0  4 16  0  6  1 23]
vc3c,1448292546,[ 38   9   1  20  56   4  12   4 104],[ 9  3  0  3 15  2  3  1 26]
vc2c,700577981,[155  13  27  53],[37  5  5 15]
vc2c,851227813,[157  11  25  55],[37  5  7 13]
vc2c,1216982159,[152  16  20  60],[35  7  4 16]
vc2c,1896513159,[155  13  26  54],[41  1  7 13]
vc3c,823797517,[ 40   7   1  21  54   5  13   6 101],[ 8  4  0  3 16  1  4  0 26]
vc2c,43597691,[156  12  23  57],[39  3  7 13]
vc3c,349113877,[ 35  13   0  19  58   3   8   4 108],[ 7  5  0  3 17  0  4  1 25]
vc2c,267322110,[157  11  28  52],[39  3  7 13]
vc2c,345568667,[155  13  28  52],[40  2  5 15]
vc2c,2063848834,[157  11  28  52],[39  3  4 16]
vc2c,975070137,[155  13  26  54],[39  3  9 11]
vc3c,567860406,[ 38   9   1  22  53   5  11   3 106],[10  1  1  4 14  2  2  3 25]
vc3c,1675535513,[ 41   6   1  19  55   6  12   4 104],[ 8  3  1  8 12  0  1  3 26]
vc2c,1429796205,[154  14  21  59],[38  4 10 10]
vc3c,380269677,[ 40   7   1  23  51   6  14   4 102],[11  1  0  7 12  1  1  1 28]
vc2c,827166624,[158  10  21  59],[35  7  8 12]
vc2c,835275023,[157  11  28  52],[39  3  9 11]
vc2c,1292477511,[156  12  31  49],[41  1  4 16]
vc3c,495778187,[ 37  11   0  17  61   2   7   5 108],[ 5  7  0  2 17  1  2  1 27]
vc3c,375682159,[ 39   8   1  17  55   8  13   4 103],[ 8  3  1  5 13  2  0  2 28]
vc2c,1406300211,[155  13  28  52],[41  1  9 11]
vc3c,1250963153,[ 37   9   2  19  56   5  12   3 105],[10  2  0  7 10  3  4  2 24]
vc2c,1614471612,[157  11  22  58],[34  8 12  8]
vc2c,1916154678,[155  13  27  53],[40  2  5 15]
vc2c,2006175329,[158  10  25  55],[38  4  9 11]
vc2c,468338682,[155  13  26  54],[41  1 10 10]
vc3c,844867540,[ 41   6   1  18  57   5  13   5 102],[ 7  5  0  7 10  3  4  0 26]
vc2c,1837987233,[151  17  22  58],[38  4  4 16]
vc3c,139017236,[ 40   7   1  17  56   7  10   4 106],[ 8  3  1  7 13  0  3  2 25]
vc3c,292988335,[ 39   8   1  18  54   8  12   5 103],[10  2  0  8 11  1  4  1 25]
vc2c,105877503,[150  18  22  58],[35  7  5 15]
vc2c,1885254942,[156  12  30  50],[39  3  9 11]
vc2c,76675552,[157  11  28  52],[39  3  7 13]
vc2c,1320910298,[157  11  27  53],[41  1  8 12]
vc3c,1980932681,[ 36  12   0  18  59   3  10   5 105],[11  1  0  6 14  0  0  0 30]
vc2c,641931343,[158  10  23  57],[35  7  7 13]
vc3c,915280321,[ 40   7   1  25  50   5  15   4 101],[11  1  0  6 13  1  3  0 27]
vc3c,829986915,[ 39   9   0  23  49   8  13   3 104],[10  2  0  3 17  0  6  1 23]
vc2c,150112056,[154  14  28  52],[39  3  8 12]
vc2c,1062239611,[157  11  28  52],[39  3  4 16]
vc2c,831782023,[155  13  24  56],[37  5  6 14]
vc2c,377822342,[158  10  30  50],[40  2  6 14]
vc3c,254628334,[ 39   8   1  20  53   7  14   4 102],[10  2  0  5 14  1  2  2 26]
vc2c,1530937790,[149  19  20  60],[40  2  6 14]
vc3c,919435187,[ 39   8   1  21  54   5  12   4 104],[ 8  4  0  3 14  3  4  2 24]
vc2c,835526394,[156  12  26  54],[39  3 10 10]
vc3c,879897629,[ 38  10   0  19  59   2   7   5 108],[ 9  3  0  8 12  0  2  0 28]
vc2c,1191732320,[158  10  29  51],[37  5  6 14]
vc2c,1538414818,[156  12  27  53],[41  1  9 11]
vc3c,390873262,[ 35  12   1  22  53   5  15   3 102],[10  2  0  1 17  2  3  1 26]
vc2c,133006160,[152  16  16  64],[35  7  8 12]
vc2c,1374845114,[153  15  27  53],[35  7  2 18]
vc3c,1278535671,[ 41   7   0  18  57   5  13   4 103],[ 8  3  1  7 12  1  5  2 23]
vc3c,614349878,[ 36  12   0  14  65   1   6   4 110],[10  2  0  6 12  2  2  1 27]
vc2c,992352623,[158  10  27  53],[40  2  7 13]
vc3c,1565921456,[ 41   6   1  25  49   6  15   4 101],[10  2  0  4 15  1  2  1 27]
vc2c,1000819612,[155  13  26  54],[39  3  8 12]
vc2c,2007166991,[156  12  29  51],[41  1  9 11]
vc3c,851227813,[ 42   5   1  22  54   4  13   5 102],[ 9  2  1  7 12  1  2  3 25]
vc3c,1687681813,[ 39   9   0  21  51   8  14   5 101],[10  1  1  6 12  2  2  0 28]
vc2c,714771773,[154  14  22  58],[36  6  7 13]
vc2c,293835627,[156  12  22  58],[37  5  8 12]
vc2c,722158869,[149  19  28  52],[41  1  3 17]
vc3c,1216982159,[ 38   9   1  24  49   7  16   4 100],[12  0  0  4 15  1  2  0 28]
vc2c,913970101,[155  13  27  53],[38  4  5 15]
vc2c,1448292546,[155  13  21  59],[31 11  5 15]
vc3c,345568667,[ 40   8   0  22  52   6  12   5 103],[ 9  2  1  4 14  2  6  1 23]
vc2c,2026330702,[155  13  24  56],[38  4  7 13]
vc2c,1090505867,[153  15  26  54],[38  4  7 13]
vc3c,43597691,[ 39   9   0  20  55   5  16   3 101],[11  1  0  5 13  2  5  0 25]
vc2c,1947729121,[151  17  25  55],[40  2  4 16]
vc3c,2063848834,[ 40   7   1  23  52   5  13   5 102],[10  2  0  3 16  1  4  1 25]
vc3c,1531777415,[ 39   8   1  25  48   7  13   4 103],[12  0  0  7 13  0  2  1 27]
vc3c,835275023,[ 37  10   1  21  51   8  12   4 104],[10  2  0  8 10  2  3  2 25]
vc3c,722158869,[ 33  15   0  19  58   3  10   2 108],[10  2  0  1 19  0  1  3 26]
vc2c,1291312215,[156  12  27  53],[40  2  3 17]
vc2c,536714102,[155  13  28  52],[42  0  6 14]
vc3c,1429796205,[ 38   9   1  19  54   7  14   4 102],[11  1  0  7 11  2  2  2 26]
vc2c,164662770,[150  18  20  60],[39  3  6 14]
vc3c,54454491,[ 35  13   0  17  61   2   6   5 109],[ 7  5  0  8 11  1  4  1 25]
vc3c,1916154678,[ 39   9   0  21  54   5  11   5 104],[10  1  1  5 12  3  6  0 24]
vc3c,1947729121,[ 43   5   0  23  52   5  14   5 101],[ 9  2  1  6 13  1  2  1 27]
vc3c,714771773,[ 33  15   0  13  65   2   8   3 109],[ 6  6  0  6 13  1  3  3 24]
vc2c,2070448984,[154  14  26  54],[40  2  6 14]
vc3c,1406300211,[ 40   7   1  24  49   7  16   4 100],[ 9  3  0  4 16  0  2  0 28]
vc3c,468338682,[ 39   8   1  25  48   7  14   5 101],[10  2  0  3 16  1  3  0 27]
vc3c,1885254942,[ 40   7   1  20  56   4  15   4 101],[11  1  0 11  7  2  3  0 27]
vc3c,164662770,[ 36  12   0  16  62   2   6   5 109],[10  2  0  6 13  1  3  0 27]
vc3c,1090505867,[ 35  13   0  19  59   2   8   5 107],[ 8  4  0  5 14  1  2  0 28]
vc2c,1717248433,[154  14  23  57],[38  4  8 12]
vc3c,1837987233,[ 37  10   1  21  51   8  12   3 105],[10  1  1  5 15  0  2  3 25]
vc3c,293835627,[ 40   7   1  21  53   6  15   4 101],[11  1  0  7 13  0  3  0 27]
vc2c,318237287,[154  14  27  53],[39  3  4 16]
vc3c,1062239611,[ 38   9   1  17  57   6  11   3 106],[ 9  3  0  5 13  2  7  3 20]
vc3c,172788376,[ 37  10   1  21  56   3  14   4 102],[11  0  1  6 12  2  3  2 25]
vc3c,2026330702,[ 41   7   0  18  55   7  14   4 102],[ 9  2  1  7 13  0  3  2 25]
vc3c,1191732320,[ 39   8   1  22  50   8  13   4 103],[11  1  0  6 14  0  4  0 26]
vc3c,318237287,[ 41   7   0  27  48   5  16   3 101],[12  0  0  3 16  1  2  0 28]
vc3c,2070448984,[ 41   6   1  20  52   8  11   5 104],[ 9  3  0  5 13  2  4  2 24]
wf24f,1565921456,"[1486  265    0   13  449 1220    3    5  161   83   18    0  464  131
    0   66]",[381  58   0   2 118 300   0   2  48  13   5   0 117  30   0  18]
wf24f,835275023,"[1480  275    0    9  438 1234    3    2  162   75   25    0  465  134
    0   62]",[376  63   0   2 118 300   0   2  48  13   5   0 112  35   0  18]
wf24f,1687681813,"[1481  273    0   10  456 1219    1    1  168   70   24    0  493  112
    0   56]",[382  57   0   2 122 298   0   0  46  16   4   0 114  38   0  13]
vc3c,1291312215,[ 38  10   0  21  54   5  15   2 103],[10  2  0  3 16  1  2  2 26]
vc3c,702861175,[ 40   7   1  20  54   6  13   6 101],[ 9  3  0  9 10  1  3  0 27]
vc3c,173714041,[ 39   8   1  21  52   7  11   3 106],[10  1  1  8 11  1  2  3 25]
vc3c,1551589007,[ 41   6   1  18  56   6  12   5 103],[ 5  6  1  5 14  1  3  1 26]
wf24f,1614471612,"[1495  260    0    9  472 1200    1    4  183   60   19    0  480  128
    0   53]",[373  66   0   2 113 307   0   0  40  23   3   0 131  20   0  14]
wf24f,2006175329,"[1514  242    0    8  463 1205    1    8  181   76    5    0  469  119
    0   73]",[367  67   0   7 131 288   0   1  46  19   1   0 112  32   0  21]
vc3c,1586326972,[ 41   7   0  19  56   5  13   5 102],[ 9  2  1  5 15  0  4  2 24]
vc3c,226674600,[ 39   8   1  20  54   6  11   5 104],[10  2  0  7 13  0  5  2 23]
vc3c,1717248433,[ 40   7   1  18  56   6   9   5 106],[ 9  3  0  6 12  2  7  2 21]
vc3c,1040585337,[ 40   8   0  22  53   5  16   3 101],[ 9  2  1  6 11  3  2  0 28]
vc3c,2015820521,[ 41   7   0  22  51   7  12   3 105],[10  2  0  6 14  0  6  1 23]
wf24f,1216982159,"[1496  256    0   12  447 1226    2    2  164   71   27    0  462  123
    1   75]",[356  81   0   4 114 305   0   1  40  20   6   0 119  23   0  23]
wf24f,1916154678,"[1488  264    0   12  460 1214    1    2  177   73   12    0  467  130
    0   64]",[366  71   0   4 106 313   0   1  40  22   4   0 120  32   0  13]
wf24f,43597691,"[1516  238    0   10  461 1209    0    7  176   66   20    0  483  121
    0   57]",[391  48   0   2 131 286   2   1  47  14   5   0 124  25   0  16]
vc3c,63040297,[ 37  11   0  20  57   3   9   4 107],[ 7  5  0  5 15  0  1  1 28]
vc3c,399499449,[ 39   8   1  23  53   4  13   4 103],[ 9  2  1  7 12  1  2  1 27]
vc3c,1056830043,[ 39   8   1  19  56   5  12   6 102],[11  1  0  6 13  1  3  1 26]
vc3c,730575025,[ 39   8   1  18  55   7  11   5 104],[11  1  0  8 10  2  6  1 23]
wf24f,76675552,"[1502  247    0   15  473 1196    1    7  172   68   22    0  462  121
    0   78]",[375  65   0   1 130 289   1   0  42  23   1   0 122  28   0  15]
wf24f,2063848834,"[1486  265    0   13  463 1212    1    1  171   70   21    0  451  136
    0   74]",[368  69   0   4 107 312   0   1  40  21   5   0 122  27   0  16]
wf24f,105877503,"[1488  264    0   12  441 1231    3    2  168   70   24    0  463  124
    0   74]",[371  66   0   4 114 306   0   0  41  19   6   0 111  37   0  17]
wf24f,1885254942,"[1494  255    0   15  438 1233    2    4  173   71   18    0  462  123
    0   76]",[358  82   0   1 117 301   0   2  41  20   5   0 114  33   0  18]
vc3c,674751741,[ 35  13   0  13  65   2   8   3 109],[ 8  4  0  8 12  0  3  4 23]
vc3c,2111180817,[ 38  10   0  17  60   3   7   5 108],[ 8  4  0  6 14  0  2  0 28]
wf24f,1429796205,"[1500  254    0   10  447 1224    3    3  173   75   14    0  465  132
    0   64]",[367  73   0   1 116 303   0   1  47  14   5   0 117  32   0  16]
vc3c,1208057369,[ 40   7   1  20  54   6  13   4 103],[ 9  3  0  7 12  1  5  0 25]
vc3c,1372041979,[ 39   8   1  19  55   6  15   4 101],[10  2  0  6 12  2  1  2 27]
vc3c,838666224,[ 39   8   1  26  48   6  12   3 105],[10  2  0  5 13  2  6  1 23]
wf24f,831782023,"[1519  237    0    8  486 1188    1    2  176   69   17    0  488  119
    0   54]",[368  71   0   2 116 304   0   0  44  16   6   0 125  25   0  15]
wf24f,54454491,"[1490  262    0   12  464 1209    2    2  171   70   21    0  470  123
    0   68]",[361  77   0   3 102 317   0   1  39  23   4   0 115  31   0  19]
wf24f,1062239611,"[1502  253    0    9  469 1204    2    2  166   70   26    0  490  122
    0   49]",[374  67   0   0 105 315   0   0  47  14   5   0 116  32   0  17]
vc3c,368961245,[ 36  12   0  17  60   3   9   6 105],[11  1  0 10  9  1  0  0 30]
vc3c,1896513159,[ 39   8   1  24  51   5  13   5 102],[12  0  0  5 13  2  4  0 26]
vc3c,700577981,[ 40   7   1  19  56   5  13   6 101],[ 9  3  0  6 13  1  3  1 26]
vc3c,834749963,[40  7  1 21 53  6 17  4 99],[ 9  3  0  7 13  0  1  1 28]
vc3c,975070137,[ 39   8   1  22  54   4  14   4 102],[10  2  0  4 10  6  2  1 27]
wf24f,150112056,"[1492  258    0   14  467 1207    0    3  188   64   10    0  472  108
    0   81]",[367  71   0   3 103 313   1   3  44  20   2   0 112  37   0  16]
vc3c,267322110,[ 38   8   2  19  53   8  13   3 104],[10  2  0  6 12  2  1  3 26]
wf24f,1406300211,"[1493  258    0   13  452 1220    2    3  166   73   23    0  461  127
    0   73]",[375  63   0   3 117 299   1   3  45  16   5   0 112  34   0  19]
vc3c,1292477511,[ 35  13   0  15  62   3  11   4 105],[ 9  3  0  6 14  0  0  4 26]
wf24f,1538414818,"[1497  256    0   11  462 1208    3    4  169   77   16    0  474  124
    0   63]",[388  53   0   0 127 293   0   0  46  15   5   0 121  28   0  16]
vc3c,827166624,[ 37  11   0  15  64   1   7   3 110],[ 7  5  0  4 14  2  1  3 26]
wf24f,1191732320,"[1485  267    0   12  454 1219    1    3  180   73    9    0  470  126
    0   65]",[368  71   0   2  91 327   0   2  41  23   2   0 116  31   0  18]
vc3c,2006175329,[ 41   6   1  23  52   5  14   4 102],[ 9  2  1  8 11  1  2  1 27]
wf24f,468338682,"[1496  258    0   10  463 1204    5    5  172   71   19    0  485  119
    0   57]",[374  64   0   3 125 295   0   0  49  14   3   0 127  18   0  20]
vc3c,1614471612,[ 38   9   1  19  56   5  13   4 103],[ 9  3  0  6  8  6  4  1 25]
wf24f,1688120438,"[1504  247    0   13  465 1205    2    5  172   67   23    0  487  116
    0   58]",[374  65   0   2 129 290   0   1  40  22   4   0 125  27   0  13]
wf24f,835526394,"[1475  278    0   11  440 1231    1    5  179   73   10    0  444  134
    0   83]",[358  78   0   5 116 304   0   0  47  14   5   0 126  28   0  11]
wf24f,1837987233,"[1470  281    0   13  432 1241    3    1  160   76   26    0  440  138
    0   83]",[374  63   0   4 111 306   2   1  45  16   5   0 116  34   0  15]
vc3c,76675552,[ 36  12   0  17  61   2   7   4 109],[ 9  3  0  7 12  1  3  1 26]
vc3c,105877503,[ 39   9   0  16  63   1   8   3 109],[ 7  5  0  3 15  2  1  2 27]
vc3c,831782023,[41  6  1 23 52  5 16  5 99],[10  2  0  7 12  1  1  0 29]
vc3c,150112056,[ 39   8   1  17  57   6  11   5 104],[ 7  5  0  5 15  0  4  4 22]
wf24f,992352623,"[1494  258    0   12  467 1205    1    4  165   76   21    0  469  119
    0   73]",[372  65   0   4 119 300   1   0  48  16   2   0 116  32   0  17]
vc3c,1538414818,[ 40   7   1  24  51   5  16   4 100],[12  0  0  8 11  1  2  0 28]
wf24f,1531777415,"[1481  274    0    9  450 1221    3    3  163   70   29    0  482  122
    1   56]",[375  64   0   2 114 306   0   0  48  14   4   0 114  31   0  20]
wf24f,1320910298,"[1493  257    0   14  466 1207    2    2  174   75   13    0  472  116
    0   73]",[380  59   0   2 107 313   0   0  39  23   4   0 122  32   0  11]
wf24f,448781952,"[1480  266    0   18  444 1228    1    4  176   74   12    0  453  125
    0   83]",[363  78   0   0 112 306   0   2  48  16   2   0 110  38   0  17]
vc3c,835526394,[ 41   6   1  17  56   7  13   3 104],[ 9  3  0  9 10  1  3  4 23]
vc3c,992352623,[ 37  11   0  19  58   3   6   5 109],[ 7  5  0  6 14  0  2  0 28]
wf24f,641931343,"[1481  277    0    6  448 1225    2    2  168   78   16    0  473  123
    0   65]",[360  76   0   5 109 310   0   1  46  17   3   0 126  22   0  17]
wf24f,1772115024,"[1498  254    0   12  459 1213    2    3  167   77   18    0  451  127
    0   83]",[366  70   0   5 111 309   0   0  47  11   8   0 128  24   0  13]
vc3c,448781952,[ 40   7   1  21  51   8  12   6 102],[11  1  0  8 12  0  4  0 26]
wf24f,293835627,"[1498  256    0   10  449 1224    1    3  179   66   17    0  488  119
    0   54]",[377  62   0   2 127 292   0   1  43  21   2   0 116  34   0  15]
wf4f,495778187,"[1418  343    0    3    1 1662   14    0  171   25   66    0  598   38
    0   25]",[357  79   0   5   0 416   4   0  39   9  18   0 152   8   0   5]
wf24f,714771773,"[1481  270    0   13  456 1216    2    3  169   68   25    0  466  123
    0   72]",[378  60   0   3 118 302   0   0  47  15   4   0 109  36   0  20]
wf24f,377822342,"[1503  251    0   10  459 1208    2    8  167   75   20    0  477  121
    0   63]",[374  62   0   5 123 297   0   0  46  15   5   0 107  39   0  19]
wf24f,722158869,"[1491  263    0   10  462 1210    2    3  167   76   19    0  483  124
    0   54]",[375  64   0   2 125 295   0   0  44  19   3   0 131  19   0  15]
wf4f,1250963153,"[1410  346    0    8    1 1661   15    0  163   28   71    0  611   37
    0   13]",[374  67   0   0   0 417   3   0  47   6  13   0 154   6   0   5]
wf24f,1530937790,"[1491  261    0   12  440 1231    2    4  170   69   23    0  460  116
    0   85]",[372  63   0   6 117 302   0   1  44  20   2   0 120  35   0  10]
wf24f,823797517,"[1492  265    0    7  449 1224    2    2  169   71   22    0  477  117
    0   67]",[365  71   0   5 102 317   0   1  48  18   0   0 127  24   0  14]
wf4f,844867540,"[1422  334    0    8    3 1663   11    0  168   30   64    0  599   46
    0   16]",[356  85   0   0   0 413   7   0  42   4  20   0 150  10   0   5]
wf24f,2026330702,"[1493  257    0   14  465 1208    2    2  174   73   15    0  461  124
    0   76]",[375  63   0   3 106 312   2   0  43  16   7   0 118  31   0  16]
wf24f,1090505867,"[1467  285    0   12  438 1234    3    2  173   74   15    0  453  131
    0   77]",[367  70   0   4 105 314   0   1  52  12   2   0 106  41   0  18]
wf4f,292988335,"[1425  333    0    6    1 1663   13    0  170   24   68    0  604   36
    0   21]",[353  86   0   2   1 414   5   0  40  10  16   0 145  11   0   9]
wf24f,133006160,"[1482  269    0   13  455 1217    1    4  177   75   10    0  453  125
    0   83]",[368  68   0   5 112 307   0   1  47  17   2   0 116  32   0  17]
wf24f,1947729121,"[1509  243    0   12  486 1185    1    5  171   65   26    0  451  126
    0   84]",[371  65   0   5 127 291   2   0  45  15   6   0 118  26   0  21]
wf4f,1980932681,"[1422  337    0    5    2 1660   15    0  163   24   75    0  597   39
    0   25]",[355  83   0   3   1 416   3   0  46  11   9   0 152   8   0   5]
wf24f,1374845114,"[1497  256    0   11  457 1217    1    2  176   75   11    0  473  123
    0   65]",[370  68   0   3 122 295   1   2  45  19   2   0 118  31   0  16]
wf24f,567860406,"[1513  242    0    9  460 1213    1    3  174   69   19    0  496  114
    0   51]",[390  49   0   2 130 289   1   0  39  25   2   0 132  26   0   7]
wf4f,829986915,"[1422  335    0    7    2 1660   15    0  162   30   70    0  604   41
    0   16]",[349  91   0   1   0 417   3   0  49   3  14   0 147  14   0   4]
wf24f,1291312215,"[1499  252    0   13  452 1222    2    1  172   69   21    0  465  130
    0   66]",[369  69   0   3 112 308   0   0  42  19   5   0 107  35   0  23]
wf24f,536714102,"[1504  246    0   14  443 1223    2    9  175   73   14    0  463  119
    0   79]",[370  68   0   3 113 304   0   3  42  16   8   0 123  24   0  18]
wf4f,254628334,"[1421  335    0    8    2 1661   14    0  164   24   74    0  604   39
    0   18]",[356  85   0   0   0 416   4   0  46  10  10   0 153   9   0   3]
wf24f,1000819612,"[1471  281    0   12  453 1220    2    2  175   68   19    0  455  127
    0   79]",[362  74   0   5 104 315   1   0  44  18   4   0 112  34   0  19]
wf24f,164662770,"[1505  249    0   10  462 1211    1    3  175   79    8    0  472  116
    0   73]",[369  65   0   7 127 292   0   1  44  17   5   0 110  35   0  20]
wf24f,2007166991,"[1488  265    0   11  451 1223    3    0  168   71   23    0  470  124
    0   67]",[376  62   0   3 115 303   0   2  39  21   6   0 104  37   0  24]wf4f,879897629,"[1423  336    0    5    1 1659   17    0  169   26   67    0  605   38
    0   18]",[350  88   0   3   0 419   1   0  42   7  17   0 153   6   0   6]
wf24f,1551589007,"[1499  256    0    9  477 1194    3    3  170   65   27    0  475  122
    0   64]",[373  61   0   7 121 299   0   0  38  23   5   0 118  24   0  23]
wf4f,614349878,"[1398  361    0    5    1 1662   14    0  165   30   67    0  606   35
    0   20]",[361  77   0   3   0 416   4   0  46   3  17   0 151   8   0   6]
